date,name,category,value
2011-01-01,Austria,Austria,5
2011-01-01,Belgium,Belgium,4
2011-01-01,Cyprus,Cyprus,2
2011-01-01,Czech Republic,Czech Republic,3
2011-01-01,Denmark,Denmark,3
2011-01-01,Finland,Finland,1
2011-01-01,France,France,13
2011-01-01,Germany,Germany,50
2011-01-01,Greece,Greece,2
2011-01-01,Ireland,Ireland,4
2011-01-01,Italy,Italy,13
2011-01-01,Monaco,Monaco,2
2011-01-01,Netherlands,Netherlands,6
2011-01-01,Norway,Norway,4
2011-01-01,Poland,Poland,3
2011-01-01,Portugal,Portugal,3
2011-01-01,Romania,Romania,2
2011-01-01,Spain,Spain,14
2011-01-01,Sweden,Sweden,10
2011-01-01,Switzerland,Switzerland,11
2011-01-01,Ukraine,Ukraine,9
2011-01-01,United Kingdom,United Kingdom,33
2012-01-01,Austria,Austria,6
2012-01-01,Belgium,Belgium,2
2012-01-01,Cyprus,Cyprus,2
2012-01-01,Czech Republic,Czech Republic,3
2012-01-01,Denmark,Denmark,3
2012-01-01,Finland,Finland,1
2012-01-01,France,France,15
2012-01-01,Georgia,Georgia,1
2012-01-01,Germany,Germany,55
2012-01-01,Greece,Greece,3
2012-01-01,Ireland,Ireland,5
2012-01-01,Italy,Italy,16
2012-01-01,Monaco,Monaco,2
2012-01-01,Netherlands,Netherlands,6
2012-01-01,Norway,Norway,5
2012-01-01,Poland,Poland,4
2012-01-01,Portugal,Portugal,3
2012-01-01,Romania,Romania,1
2012-01-01,Spain,Spain,16
2012-01-01,Sweden,Sweden,11
2012-01-01,Switzerland,Switzerland,9
2012-01-01,Ukraine,Ukraine,8
2012-01-01,United Kingdom,United Kingdom,36
2013-01-01,Austria,Austria,6
2013-01-01,Belgium,Belgium,2
2013-01-01,Cyprus,Cyprus,2
2013-01-01,Czech Republic,Czech Republic,3
2013-01-01,Denmark,Denmark,3
2013-01-01,Finland,Finland,1
2013-01-01,France,France,15
2013-01-01,Georgia,Georgia,1
2013-01-01,Germany,Germany,55
2013-01-01,Greece,Greece,3
2013-01-01,Ireland,Ireland,5
2013-01-01,Italy,Italy,16
2013-01-01,Monaco,Monaco,2
2013-01-01,Netherlands,Netherlands,6
2013-01-01,Norway,Norway,5
2013-01-01,Poland,Poland,4
2013-01-01,Portugal,Portugal,3
2013-01-01,Romania,Romania,1
2013-01-01,Spain,Spain,16
2013-01-01,Sweden,Sweden,11
2013-01-01,Switzerland,Switzerland,9
2013-01-01,Ukraine,Ukraine,8
2013-01-01,United Kingdom,United Kingdom,36
2014-01-01,Austria,Austria,3
2014-01-01,Belgium,Belgium,2
2014-01-01,Czech Republic,Czech Republic,3
2014-01-01,Denmark,Denmark,4
2014-01-01,Finland,Finland,1
2014-01-01,France,France,22
2014-01-01,Germany,Germany,33
2014-01-01,Greece,Greece,3
2014-01-01,Guernsey,Guernsey,1
2014-01-01,Ireland,Ireland,2
2014-01-01,Italy,Italy,20
2014-01-01,Monaco,Monaco,3
2014-01-01,Netherlands,Netherlands,4
2014-01-01,Norway,Norway,5
2014-01-01,Poland,Poland,2
2014-01-01,Spain,Spain,12
2014-01-01,Sweden,Sweden,10
2014-01-01,Switzerland,Switzerland,11
2014-01-01,Ukraine,Ukraine,4
2014-01-01,United Kingdom,United Kingdom,16
2015-01-01,Austria,Austria,7
2015-01-01,Belgium,Belgium,3
2015-01-01,Cyprus,Cyprus,5
2015-01-01,Czech Republic,Czech Republic,5
2015-01-01,Denmark,Denmark,5
2015-01-01,Finland,Finland,5
2015-01-01,France,France,47
2015-01-01,Georgia,Georgia,1
2015-01-01,Germany,Germany,103
2015-01-01,Greece,Greece,3
2015-01-01,Guernsey,Guernsey,1
2015-01-01,Iceland,Iceland,1
2015-01-01,Ireland,Ireland,5
2015-01-01,Italy,Italy,39
2015-01-01,Lithuania,Lithuania,1
2015-01-01,Monaco,Monaco,3
2015-01-01,Netherlands,Netherlands,9
2015-01-01,Norway,Norway,10
2015-01-01,Poland,Poland,5
2015-01-01,Portugal,Portugal,3
2015-01-01,Romania,Romania,2
2015-01-01,Spain,Spain,21
2015-01-01,Sweden,Sweden,23
2015-01-01,Switzerland,Switzerland,29
2015-01-01,Ukraine,Ukraine,5
2015-01-01,United Kingdom,United Kingdom,53
2016-01-01,Austria,Austria,6
2016-01-01,Belgium,Belgium,3
2016-01-01,Cyprus,Cyprus,5
2016-01-01,Czech Republic,Czech Republic,5
2016-01-01,Denmark,Denmark,6
2016-01-01,Finland,Finland,6
2016-01-01,France,France,39
2016-01-01,Georgia,Georgia,1
2016-01-01,Germany,Germany,119
2016-01-01,Greece,Greece,2
2016-01-01,Guernsey,Guernsey,1
2016-01-01,Iceland,Iceland,1
2016-01-01,Ireland,Ireland,6
2016-01-01,Italy,Italy,43
2016-01-01,Liechtenstein,Liechtenstein,1
2016-01-01,Monaco,Monaco,4
2016-01-01,Netherlands,Netherlands,9
2016-01-01,Norway,Norway,13
2016-01-01,Poland,Poland,3
2016-01-01,Portugal,Portugal,3
2016-01-01,Romania,Romania,1
2016-01-01,Spain,Spain,21
2016-01-01,Sweden,Sweden,26
2016-01-01,Switzerland,Switzerland,33
2016-01-01,Ukraine,Ukraine,5
2016-01-01,United Kingdom,United Kingdom,50
2017-01-01,Austria,Austria,8
2017-01-01,Belgium,Belgium,2
2017-01-01,Cyprus,Cyprus,6
2017-01-01,Czech Republic,Czech Republic,6
2017-01-01,Denmark,Denmark,6
2017-01-01,Finland,Finland,7
2017-01-01,France,France,38
2017-01-01,Georgia,Georgia,1
2017-01-01,Germany,Germany,114
2017-01-01,Greece,Greece,3
2017-01-01,Guernsey,Guernsey,1
2017-01-01,Iceland,Iceland,1
2017-01-01,Ireland,Ireland,8
2017-01-01,Italy,Italy,42
2017-01-01,Liechtenstein,Liechtenstein,1
2017-01-01,Monaco,Monaco,4
2017-01-01,Netherlands,Netherlands,10
2017-01-01,Norway,Norway,14
2017-01-01,Poland,Poland,4
2017-01-01,Portugal,Portugal,4
2017-01-01,Romania,Romania,1
2017-01-01,Slovakia,Slovakia,1
2017-01-01,Spain,Spain,25
2017-01-01,Sweden,Sweden,31
2017-01-01,Switzerland,Switzerland,36
2017-01-01,Ukraine,Ukraine,6
2017-01-01,United Kingdom,United Kingdom,54
2018-01-01,Austria,Austria,8
2018-01-01,Belgium,Belgium,2
2018-01-01,Cyprus,Cyprus,7
2018-01-01,Czech Republic,Czech Republic,6
2018-01-01,Denmark,Denmark,10
2018-01-01,Finland,Finland,6
2018-01-01,France,France,40
2018-01-01,Georgia,Georgia,1
2018-01-01,Germany,Germany,123
2018-01-01,Greece,Greece,4
2018-01-01,Guernsey,Guernsey,1
2018-01-01,Hungary,Hungary,1
2018-01-01,Iceland,Iceland,1
2018-01-01,Ireland,Ireland,9
2018-01-01,Italy,Italy,43
2018-01-01,Liechtenstein,Liechtenstein,1
2018-01-01,Monaco,Monaco,4
2018-01-01,Netherlands,Netherlands,9
2018-01-01,Norway,Norway,15
2018-01-01,Poland,Poland,6
2018-01-01,Portugal,Portugal,1
2018-01-01,Romania,Romania,1
2018-01-01,Slovakia,Slovakia,1
2018-01-01,Spain,Spain,29
2018-01-01,Sweden,Sweden,32
2018-01-01,Switzerland,Switzerland,36
2018-01-01,Ukraine,Ukraine,7
2018-01-01,United Kingdom,United Kingdom,54
2019-01-01,Austria,Austria,8
2019-01-01,Belgium,Belgium,2
2019-01-01,Cyprus,Cyprus,7
2019-01-01,Czech Republic,Czech Republic,6
2019-01-01,Denmark,Denmark,10
2019-01-01,Finland,Finland,6
2019-01-01,France,France,40
2019-01-01,Georgia,Georgia,1
2019-01-01,Germany,Germany,123
2019-01-01,Greece,Greece,4
2019-01-01,Guernsey,Guernsey,1
2019-01-01,Hungary,Hungary,1
2019-01-01,Iceland,Iceland,1
2019-01-01,Ireland,Ireland,9
2019-01-01,Italy,Italy,43
2019-01-01,Liechtenstein,Liechtenstein,1
2019-01-01,Monaco,Monaco,4
2019-01-01,Netherlands,Netherlands,9
2019-01-01,Norway,Norway,15
2019-01-01,Poland,Poland,6
2019-01-01,Portugal,Portugal,1
2019-01-01,Romania,Romania,1
2019-01-01,Slovakia,Slovakia,1
2019-01-01,Spain,Spain,29
2019-01-01,Sweden,Sweden,32
2019-01-01,Switzerland,Switzerland,36
2019-01-01,Ukraine,Ukraine,7
2019-01-01,United Kingdom,United Kingdom,54
2020-01-01,Austria,Austria,9
2020-01-01,Belgium,Belgium,2
2020-01-01,Cyprus,Cyprus,3
2020-01-01,Czechia,Czechia,8
2020-01-01,Denmark,Denmark,8
2020-01-01,Finland,Finland,6
2020-01-01,France,France,44
2020-01-01,Georgia,Georgia,1
2020-01-01,Germany,Germany,114
2020-01-01,Greece,Greece,3
2020-01-01,Guernsey,Guernsey,1
2020-01-01,Hungary,Hungary,2
2020-01-01,Iceland,Iceland,1
2020-01-01,Ireland,Ireland,9
2020-01-01,Italy,Italy,39
2020-01-01,Liechtenstein,Liechtenstein,1
2020-01-01,Monaco,Monaco,4
2020-01-01,Netherlands,Netherlands,13
2020-01-01,Norway,Norway,12
2020-01-01,Poland,Poland,6
2020-01-01,Portugal,Portugal,1
2020-01-01,Romania,Romania,2
2020-01-01,Slovakia,Slovakia,2
2020-01-01,Spain,Spain,25
2020-01-01,Sweden,Sweden,32
2020-01-01,Switzerland,Switzerland,36
2020-01-01,Ukraine,Ukraine,7
2020-01-01,United Kingdom,United Kingdom,51
2021-01-01,Austria,Austria,12
2021-01-01,Belgium,Belgium,3
2021-01-01,Cyprus,Cyprus,5
2021-01-01,Czechia,Czechia,9
2021-01-01,Denmark,Denmark,10
2021-01-01,Finland,Finland,7
2021-01-01,France,France,42
2021-01-01,Georgia,Georgia,2
2021-01-01,Germany,Germany,136
2021-01-01,Greece,Greece,4
2021-01-01,Guernsey,Guernsey,1
2021-01-01,Hungary,Hungary,2
2021-01-01,Iceland,Iceland,2
2021-01-01,Ireland,Ireland,9
2021-01-01,Italy,Italy,51
2021-01-01,Liechtenstein,Liechtenstein,1
2021-01-01,Monaco,Monaco,3
2021-01-01,Netherlands,Netherlands,12
2021-01-01,Norway,Norway,12
2021-01-01,Poland,Poland,8
2021-01-01,Portugal,Portugal,2
2021-01-01,Romania,Romania,2
2021-01-01,Slovakia,Slovakia,2
2021-01-01,Spain,Spain,30
2021-01-01,Sweden,Sweden,41
2021-01-01,Switzerland,Switzerland,40
2021-01-01,Ukraine,Ukraine,7
2021-01-01,United Kingdom,United Kingdom,56
2022-01-01,Austria,Austria,11
2022-01-01,Belgium,Belgium,3
2022-01-01,Bulgaria,Bulgaria,2
2022-01-01,Cyprus,Cyprus,6
2022-01-01,Czechia,Czechia,9
2022-01-01,Denmark,Denmark,9
2022-01-01,Estonia,Estonia,1
2022-01-01,Finland,Finland,7
2022-01-01,France,France,43
2022-01-01,Georgia,Georgia,2
2022-01-01,Germany,Germany,134
2022-01-01,Greece,Greece,4
2022-01-01,Guernsey,Guernsey,1
2022-01-01,Hungary,Hungary,2
2022-01-01,Iceland,Iceland,2
2022-01-01,Ireland,Ireland,9
2022-01-01,Italy,Italy,52
2022-01-01,Liechtenstein,Liechtenstein,1
2022-01-01,Monaco,Monaco,4
2022-01-01,Netherlands,Netherlands,11
2022-01-01,Norway,Norway,13
2022-01-01,Poland,Poland,7
2022-01-01,Portugal,Portugal,1
2022-01-01,Romania,Romania,6
2022-01-01,Slovakia,Slovakia,2
2022-01-01,Spain,Spain,27
2022-01-01,Sweden,Sweden,45
2022-01-01,Switzerland,Switzerland,41
2022-01-01,Ukraine,Ukraine,7
2022-01-01,United Kingdom,United Kingdom,50
